Salt: flibe,Temp Range: 900.0K - 1120.0K
K-Effective, Error, Conversation Ratio, Error
0.970597,0.0028,0.370826,0.00567
0.969693,0.00231,0.372586,0.00563
0.965542,0.00248,0.372544,0.00638
0.96612,0.00303,0.371667,0.00748
0.966716,0.00164,0.36951,0.00353
0.96191,0.00216,0.371048,0.00438
0.9629,0.0022,0.371874,0.00545
0.963339,0.00234,0.373125,0.00644
0.959603,0.00273,0.373527,0.00511
0.955782,0.00238,0.375768,0.00498
0.957322,0.00283,0.371975,0.00569
